S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
52.,17-Aug-2023 06:40 PM.,08-Sep-2023 03:00 PM,11-Sep-2023 03:00 PM,"[Licence for Retail outlet for sale of Home, Travel and Life Style accessories inside International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar. ]  [AAI/ASR/COMML/RETAIL/2023/25][2023_AAI_164750_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SSvu98v8yO0WiluI0D8%2Bakg%3D%3D
53.,17-Aug-2023 06:40 PM.,08-Sep-2023 03:00 PM,11-Sep-2023 03:00 PM,"[Licence for Wellness Products Retail Outlet inside Domestic SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.]  [AAI/ASR/COMML/RETAIL/2023/24][2023_AAI_164749_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ScIe%2FaQlOpXr5S2X3S2Up7w%3D%3D
54.,17-Aug-2023 06:50 PM.,08-Sep-2023 03:00 PM,11-Sep-2023 03:00 PM,"[Licence for Skincare Outlet inside Domestic SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.]  [AAI/ASR/COMML/RETAIL/2023/23][2023_AAI_164665_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SsR8SMRSp5AuP3OIL%2BReyKw%3D%3D
55.,18-Aug-2023 05:00 PM.,05-Sep-2023 03:00 PM,06-Sep-2023 03:00 PM,[Comprehensive AMC for Sharp Photo Copier Machine]  [A3/CMC/84011/23/MC][2023_CSIR_164887_1],Council of Scientific and Industrial Research||CSIR Madras Complex-Chennai||Purchase-CSIR MADRAS Cx. - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJyfzjqYBLc1RBfVZQssv0w%3D%3D
56.,17-Aug-2023 03:00 PM.,06-Sep-2023 03:00 PM,07-Sep-2023 03:05 PM,[KILN TYRE REPAIR]  [BKJ/MECH/KL/TYRE/23-24][2023_CCI_164745_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SOBLhl%2FzoQkU2NaNZBtX0VQ%3D%3D
57.,17-Aug-2023 03:00 PM.,07-Sep-2023 03:00 PM,08-Sep-2023 03:00 PM,"[Staff Canteen Facility at Operational Building, Kolkata]  [AAI/Kol/Comml/Staff Canteen][2023_AAI_164730_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||COMMERCIAL-VECC - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SLpkp2%2Fdy3k2OptQFxmDdpg%3D%3D
58.,19-Aug-2023 12:00 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Licence for Gift (Gifting) Outlet at International Security Hold Area (ISHA) (second floor), New Integrated Terminal Building, Goa International Airport, Dabolim.]  [AAI/COMML/GOA/GS/2023][2023_AAI_165002_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SyH7SFTxPGqUmUkS0XPr9bA%3D%3D
59.,18-Aug-2023 05:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[Pre Bid Engineering Services for the works of 6 lane access controlled Tharad Ahmedabad Expressway package 01 to 05 in the state of Gujarat on HAM mode]  [IRCON/2023/HAM/NHAI/Tharad Ahm Bypass/Pkg 1 to 5][2023_IRCON_164930_1],IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Business Development - IRCON,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sg6Oaug94DYZlt4g0tuoCbQ%3D%3D
60.,19-Aug-2023 01:00 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Licence for Make-up and Cosmetics Products outlet at International Security Hold Area (ISHA)(Second floor), New Integrated Terminal Building, Goa International Airport, Dabolim.]  [AAI/COMML/GOA/M-C/2023][2023_AAI_165035_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SMCRJteuTwOACo%2BntW1vFVA%3D%3D
61.,19-Aug-2023 02:00 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Licence for Handicrafts, Decor items and Accessories outlet at International Security Hold Area (ISHA)(Second floor), New Integrated Terminal Building, Goa International Airport, Dabolim.]  [AAI/COMML/GOA/H-D/2023][2023_AAI_165054_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sh6oGvVCN%2B0uQtphNVpa%2FQw%3D%3D
62.,19-Aug-2023 03:00 PM.,11-Sep-2023 02:00 PM,12-Sep-2023 03:00 PM,[Rectification of OFC Faults Miscellaneous Works in Barabanki OA under Ayodhya BA]  [W-2/GMAY BA/PLG/Tender/BBK/ OFC Mtce work/2023-24][2023_BSNL_165059_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SES%2FrG393f5sWl8DlTahYBg%3D%3D
63.,31-Jul-2023 05:00 PM.,28-Aug-2023 05:00 PM,29-Aug-2023 05:00 PM,"[Notice Inviting E-Tender (NIET) For License to Operate Snack Bar facility (Inside SHA, First Floor and Ground Floor) at New Terminal Building of RVST Airport, Gwalior]  [ CL-12018/17/2023-APD-NR-AGRA ][2023_AAI_162790_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sfh457nTV6yiUNywpfIauWg%3D%3D
64.,21-Aug-2023 04:00 PM.,12-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,"[Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR PEARL AND JEWELLERY SHOP IN SHA, UPPER GROUNG FLOOR at NITB, VSI Airport, Port Blair]  [AAI/PB/COMML/PEARL/AUG/2023][2023_AAI_165118_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SnS4vbSDHRRcJliY3lsDY7g%3D%3D
65.,21-Aug-2023 06:30 PM.,08-Sep-2023 02:00 PM,09-Sep-2023 02:30 PM,[AUGMENTATION OF LIGHTNING PROTECTION SYSTEM AT LONI O AND M BASE OF GAIL JLPL]  [GAIL/C AND P/JPR23VS059/2023 TO 2024][2023_GAIL_165192_1],GAIL (India) Limited||GAIL India Limited- Jaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SctEvA4eRQd%2Bvi%2BgjgWRqdQ%3D%3D
66.,22-Aug-2023 04:00 PM.,13-Sep-2023 04:00 PM,14-Sep-2023 04:00 PM,"[Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR HANDICRAFT SHOP IN SHA,UPPER GROUNG FLOOR at NITB, VSI Airport, Port Blair]  [AAI/PB/COMML/HANDICRAFT/AUG23][2023_AAI_165229_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sm1vSNQTKjYK8xWTaXZs6rA%3D%3D
67.,23-Aug-2023 04:00 PM.,30-Aug-2023 04:00 PM,31-Aug-2023 04:00 PM,"[Short Term Concession to Operate and Manage Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at New Integrated Terminal Building, VSI Airport, Port Blair]  [AAI/PB/COMML/VPNITB/AUG2023][2023_AAI_165353_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S02IcnnWWLJxJgSvOllCecg%3D%3D
68.,01-Jun-2023 09:00 AM.,14-Sep-2023 04:00 PM,15-Sep-2023 04:30 PM,[1151/MPMRCL/2023/Package BH_05 Part Design and Construction of elevated Viaduct between]  [1151 /MPMRCL/2023/Package BH-05 ][2023_MPMRC_155818_1],Madhya Pradesh Metro Rail Corporation Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SK11F5JVMakha7l2S2pYwGw%3D%3D
69.,23-Aug-2023 05:00 PM.,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,"[SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF MISCELLANEOUS ELECTRICAL WORKS FOR ESTABLISHING GRID POWER SUPPLY AT LAKWA]  [BCPL/CNP/LA23W017MB/01035][2023_BCPL_165445_1]",Brahmaputra Cracker and Polymer Limited||C and P - BCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SYjTuPuLJ2awbLDPqBkCLFQ%3D%3D
61.,19-Aug-2023 02:00 PM.,11-Sep-2023 03:00 PM,12-Sep-2023 03:00 PM,"[Licence for Handicrafts, Decor items and Accessories outlet at International Security Hold Area (ISHA)(Second floor), New Integrated Terminal Building, Goa International Airport, Dabolim.]  [AAI/COMML/GOA/H-D/2023][2023_AAI_165054_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sh6oGvVCN%2B0uQtphNVpa%2FQw%3D%3D
62.,19-Aug-2023 03:00 PM.,11-Sep-2023 02:00 PM,12-Sep-2023 03:00 PM,[Rectification of OFC Faults Miscellaneous Works in Barabanki OA under Ayodhya BA]  [W-2/GMAY BA/PLG/Tender/BBK/ OFC Mtce work/2023-24][2023_BSNL_165059_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SES%2FrG393f5sWl8DlTahYBg%3D%3D
63.,31-Jul-2023 05:00 PM.,28-Aug-2023 05:00 PM,29-Aug-2023 05:00 PM,"[Notice Inviting E-Tender (NIET) For License to Operate Snack Bar facility (Inside SHA, First Floor and Ground Floor) at New Terminal Building of RVST Airport, Gwalior]  [ CL-12018/17/2023-APD-NR-AGRA ][2023_AAI_162790_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sfh457nTV6yiUNywpfIauWg%3D%3D
64.,21-Aug-2023 04:00 PM.,12-Sep-2023 04:00 PM,13-Sep-2023 04:00 PM,"[Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR PEARL AND JEWELLERY SHOP IN SHA, UPPER GROUNG FLOOR at NITB, VSI Airport, Port Blair]  [AAI/PB/COMML/PEARL/AUG/2023][2023_AAI_165118_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SnS4vbSDHRRcJliY3lsDY7g%3D%3D
65.,21-Aug-2023 06:30 PM.,08-Sep-2023 02:00 PM,09-Sep-2023 02:30 PM,[AUGMENTATION OF LIGHTNING PROTECTION SYSTEM AT LONI O AND M BASE OF GAIL JLPL]  [GAIL/C AND P/JPR23VS059/2023 TO 2024][2023_GAIL_165192_1],GAIL (India) Limited||GAIL India Limited- Jaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SctEvA4eRQd%2Bvi%2BgjgWRqdQ%3D%3D
66.,22-Aug-2023 04:00 PM.,13-Sep-2023 04:00 PM,14-Sep-2023 04:00 PM,"[Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR HANDICRAFT SHOP IN SHA,UPPER GROUNG FLOOR at NITB, VSI Airport, Port Blair]  [AAI/PB/COMML/HANDICRAFT/AUG23][2023_AAI_165229_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sm1vSNQTKjYK8xWTaXZs6rA%3D%3D
67.,23-Aug-2023 04:00 PM.,30-Aug-2023 04:00 PM,31-Aug-2023 04:00 PM,"[Short Term Concession to Operate and Manage Parking Management System, Collection of Parking Fees and Excess Time Fees Rights at New Integrated Terminal Building, VSI Airport, Port Blair]  [AAI/PB/COMML/VPNITB/AUG2023][2023_AAI_165353_1]",Airports Authority of India||Eastern Region - AAI||PORTBLAIR - AAI||TERMINAL MGMT-VOPB - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S02IcnnWWLJxJgSvOllCecg%3D%3D
68.,01-Jun-2023 09:00 AM.,14-Sep-2023 04:00 PM,15-Sep-2023 04:30 PM,[1151/MPMRCL/2023/Package BH_05 Part Design and Construction of elevated Viaduct between]  [1151 /MPMRCL/2023/Package BH-05 ][2023_MPMRC_155818_1],Madhya Pradesh Metro Rail Corporation Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SK11F5JVMakha7l2S2pYwGw%3D%3D
69.,23-Aug-2023 05:00 PM.,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,"[SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF MISCELLANEOUS ELECTRICAL WORKS FOR ESTABLISHING GRID POWER SUPPLY AT LAKWA]  [BCPL/CNP/LA23W017MB/01035][2023_BCPL_165445_1]",Brahmaputra Cracker and Polymer Limited||C and P - BCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SYjTuPuLJ2awbLDPqBkCLFQ%3D%3D
1.,24-Jul-2023 04:00 PM.,28-Aug-2023 02:30 PM,30-Aug-2023 03:00 PM,"[RFQ 10455 White washing, Colour washing, Painting at KCC and KCM plant area during 2023-25]  [RFQ10455 White washing/Colour washing/Painting ][2023_HCL_162120_1]",Hindustan Copper Limited||Khetri Copper Complex - Rajasthan||Contract Cell,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SA4fwoWmuXDTrzF5bHyNozg%3D%3D
1.,21-Mar-2023 01:30 PM.,13-Sep-2023 02:00 PM,14-Sep-2023 02:30 PM,"[Supply, Installation, etc. of 3-Tesla Magnetic Resonance Imaging MRI System]  [HITES/PCD/MCH-AIIMS/19/22-23][2023_HLL_149654_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sb34CkMC01kJ%2B2vG%2BQ1uQtw%3D%3D
2.,24-Jan-2023 12:00 PM.,31-Aug-2023 02:00 PM,01-Sep-2023 02:30 PM,"[Supply, Installation, etc. of Integrated and Peri-Operative Anesthesia Charting System for OT, ICU, Ward and Recovery for NCI-AIIMS, Jhajjar Campus, Haryana]  [HITES/PCD/NCI-AIIMS/51/22-23][2023_HLL_142649_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2VX4lwhKQEJFDVdUu8Hj9g%3D%3D
3.,31-Mar-2023 02:40 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of Full body pregnancy simulator]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S8sJaH4HJ8RnEhFQxyEvLxQ%3D%3D
4.,31-Mar-2023 05:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,[Procurement of Gel Documentation System]  [HITES/PCD/AIIMS-IV/66/MIX/ 22-23][2023_HLL_150719_4],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SL0P3l8QzESNM8VGv7RvIhg%3D%3D
5.,31-Mar-2023 04:30 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of Point of Care Device for estimation of cardiac biomarkers (CKMB, Troponin, BNp, Myoglobin) and PT-INR]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_14]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SbFCMq3fVs9biKI2pP0jztQ%3D%3D
6.,31-Mar-2023 05:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,[Procurement of Agarose Gel Electrophoresis System]  [HITES/PCD/AIIMS-IV/66/MIX/ 22-23][2023_HLL_150719_5],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SWkqfFzybVl37FaFTDspFxw%3D%3D
7.,31-Mar-2023 06:55 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,[Electro Physiology (EP) System]  [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_1],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SP5PEEVOPQR9kJtKtEvaQSA%3D%3D
8.,31-Mar-2023 06:55 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of OAE (screening)]  [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_17]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SblrrRoPTtkMaNJ%2B3NxJv7A%3D%3D
9.,31-Mar-2023 06:55 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,[High end Operating Microscope]  [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_2],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SdR6J8Cf4ymyd%2B2VxWB6wLw%3D%3D
10.,31-Mar-2023 06:55 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of Pacemaker Dual Chamber - Extemal]  [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_18]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SCfd0YGjUwUVDmp07ZGL4Sw%3D%3D
11.,31-Mar-2023 04:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of Orthopantomogram (OPG) unit]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_8]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SaCjsRzhvtb0tzpvxNr73rg%3D%3D
12.,31-Mar-2023 04:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of Gamma Camera]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_3]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S6RKTprajWtK0xH%2B2viY6dA%3D%3D
13.,31-Mar-2023 04:00 PM.,04-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,"[Supply, Installation and Commissioning of Advanced Paediatric advanced laparoscopy Instrument Set for MCH-AIIMS, New Delhi]  [HITES/PCD/MCH-AIIMS/24/22-23][2023_HLL_150644_4]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJQz071VCbJ807Rn%2F66lY9g%3D%3D
14.,31-Mar-2023 04:00 PM.,04-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,"[Supply, Installation and Commissioning of Advance Bipolar And Ultrasonic Energy Generator for MCH-AIIMS, New Delhi]  [HITES/PCD/MCH-AIIMS/25/22-23][2023_HLL_150645_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SXEXYLXBaFfTdVWzBRt0FvQ%3D%3D
15.,31-Mar-2023 04:00 PM.,04-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,"[Supply, Installation and Commissioning of Advanced Electrosurgical Unit With Vessel Fusion for MCH-AIIMS, New Delhi]  [HITES/PCD/MCH-AIIMS/25/22-23][2023_HLL_150645_2]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SRRnWPbGNhgb7QJNTg5PlGQ%3D%3D
16.,31-Mar-2023 04:00 PM.,04-Sep-2023 02:00 PM,05-Sep-2023 02:30 PM,"[Supply, Installation and Commissioning of Phase Contrast Microscope with camera and Monitor IVF Grade for MCH-AIIMS, New Delhi]  [HITES/PCD/MCH-AIIMS/25/22-23][2023_HLL_150645_3]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SWtMpTEu9H%2BrSDQjfIiZUMg%3D%3D
17.,31-Mar-2023 04:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of HPLC system]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_7]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ShqhQ9tVQMXWwZmoU%2FSsIRA%3D%3D
18.,31-Mar-2023 04:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of ICP Monitor]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_6]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S5x4ZV61vrFqstexjc5BDXA%3D%3D
19.,31-Mar-2023 04:00 PM.,15-Sep-2023 01:00 PM,16-Sep-2023 02:30 PM,"[Supply,Installation of HPLC system]  [HITES/PCD/AIIMS-IV/65/Mix/ 22-23][2023_HLL_150702_5]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJAM2yUv1SvIA9KJeLseXMQ%3D%3D
